net,length_um
clknet_0_clk,1143.7
_02091_,704.76
_04080_,680.95
net29,656.62
net14,646.91
net12,604.89
net67,603.6
_03656_,589.31
_02036_,572.68
_02105_,566.46
_02056_,550.72
_02024_,549.25
net25,542.09
net79,535.67
_02031_,524.05
net32,517.36
_03683_,494.1
_02151_,489.07
net65,487.96
_03680_,486.47
_02049_,483.88
_03824_,483.32
net48,482.8
_04543_,481.17
_04149_,478.99
_02237_,474.93
net16,468.72
_02238_,463.17
net15,460.62
_02108_,458.59
_02099_,457.54
_03586_,455.755
_04136_,453.84
_04010_,449.35
_03445_,440.41
net10,439.09
net69,435.53
_03682_,434.81
_03668_,432.49
_04104_,429.39
_04310_,426.59
_03841_,420.4
_04004_,418.76
net21,414.36
_03441_,410.03
_03813_,402.53
_03233_,401.83
_04587_,399.15
clk,397.2
net24,396.21
net74,391.105
_03925_,387.19
net66,386.35
_03748_,384.88
_03832_,383.37
net71,382.39
_04077_,382.01
net9,381.3
_02061_,377.06
net70,375.42
_02235_,375.35
net46,373.46
_03899_,372.92
_04413_,372.655
_05058_,371.46
net80,371.08
_02071_,370.42
_02083_,369.88
clknet_4_1_0_clk,369.62
_03833_,367.93
_03896_,367.79
_03855_,367.59
_02103_,367.09
_02335_,366.56
net73,366.14
_05049_,365.23
_02127_,364.7
_03856_,364.03
_03443_,362.66
net81,362.63
_02079_,362.34
clknet_4_8_0_clk,361.69
_05813_,361.47
_04097_,361.44
_02218_,359.76
_03906_,359.6
_02345_,359.26
_03991_,359.26
_03648_,358.98
_05043_,356.65
net75,355.27
_02087_,355.02
net40,354.77
_02109_,354.74
_02220_,354.02
_03812_,353.35
_04285_,353.07
_02148_,349.83
_04106_,347.07
_05790_,346.95
_05070_,346.28
net19,344.98
_02464_,344.3
_03479_,339.78
_04394_,339.15
_03444_,338.76
_03936_,338.35
_02337_,337.97
_03911_,337.3
_05066_,336.92
_03808_,335.12
_04662_,334.27
_05420_,333.93
_02287_,333.46
_02334_,333.03
_02333_,332.23
_05831_,332.01
_03924_,330.71
_05454_,330.44
_04489_,329.26
_03677_,329.22
_04146_,329.18
_04098_,328.4
_03874_,327.82
net33,326.125
_02363_,325.515
_03891_,325.12
_02317_,324.34
_02535_,324.1
_06577_,324
_02469_,322.33
_02228_,322.3
_02471_,321.6
clknet_4_4_0_clk,321.55
net31,318.69
_04099_,318.62
_04133_,318.29
_02180_,318.28
_05088_,317.87
_03970_,317.15
net37,316.74
_02369_,316.65
_03933_,316.1
net76,315.18
_02207_,314.89
clknet_4_13_0_clk,314.43
_03762_,313.79
_04206_,313.35
_03850_,313.17
_03984_,313.05
_03918_,312.84
_03997_,312.76
_03929_,311.8
_05579_,311.54
_06106_,311.2
clknet_4_11_0_clk,311.11
_03449_,310.97
net34,310.5
_02848_,310.44
_06087_,309.18
_03754_,308.61
_02222_,308.1
_07022_,307.82
_04439_,307.3
_02729_,306.9
_04002_,306.86
_04214_,306.61
net13,304.18
clknet_4_2_0_clk,304.13
_06505_,304.06
net49,303.5
_02142_,303.35
net1,302.82
_02144_,302.76
_03818_,302.6
_06631_,302.18
_02468_,302.13
_02391_,301.78
_02347_,301.76
_03900_,301.57
_03892_,300.35
net44,300.26
_02493_,300.25
_04209_,299.47
clknet_4_9_0_clk,299.37
_03672_,298.57
_04588_,298.48
_03862_,298.11
_02398_,298.03
_02203_,296.45
_03894_,296.38
_02506_,295.475
_02377_,294.68
_05480_,294.24
_06600_,293.75
_03858_,293.5
_03701_,293.38
_04162_,293.26
_04013_,291.46
_03721_,291.27
_03955_,290.91
_02197_,289.42
_02201_,288.6
_02230_,288.48
_04157_,288.37
clknet_4_14_0_clk,287.915
_03708_,287.605
net23,287.2
_01856_,286.665
clknet_4_5_0_clk,285.23
net72,285
_02376_,284.41
_03650_,284.28
_02416_,283.71
_03913_,283.7
_05460_,283.49
net20,282.38
clknet_4_10_0_clk,282.35
net41,282.27
clknet_4_6_0_clk,282.06
_03726_,282.025
_07060_,280.42
_02258_,280.37
_05402_,280.32
_05470_,279.91
_02372_,279.72
_02200_,279.09
_02243_,278.78
_02498_,278.38
_02211_,277.98
_02518_,277.68
_02358_,277.56
_03712_,277.37
_02443_,277.13
_02140_,276.03
_04593_,275.93
_03731_,275.81
_03664_,275.69
clknet_4_3_0_clk,275.14
net86,275.04
_01977_,274.1
_02375_,273.4
_04020_,273.22
_02130_,273.19
_05429_,272.49
_05477_,272.33
_03809_,272.26
net18,271.42
clknet_4_7_0_clk,271.42
clknet_4_15_0_clk,270.17
_03734_,269.11
_02098_,268.91
_07041_,268.36
_02097_,268.34
_03961_,268.1
_03827_,268.01
_03935_,267.68
_02488_,267.17
_02497_,267.1
_02253_,266.485
_04187_,265.66
_02485_,265.65
_03733_,265.54
_03475_,265.49
net6,265.13
_02380_,265.085
_03823_,264.18
_06545_,263.46
_03329_,263.13
_03646_,262.56
_03702_,262.39
_03982_,261.77
_06634_,259.85
_03735_,259.2
_06016_,259.07
_02501_,258.72
net28,258.5
_03720_,257.69
_06640_,257.52
_02329_,257.36
_03839_,257.21
_03746_,256.54
net4,256.3
_05496_,256.12
_03767_,255.65
_04339_,255.58
_03915_,254.04
net36,254.04
_02761_,253.65
_05855_,253.3
net45,252.82
_06526_,252.62
clknet_4_12_0_clk,252.44
_03928_,252.43
_02045_,252.28
_01722_,251.97
_02719_,251.01
_02229_,250.29
_04181_,249.89
_05080_,249.855
net38,249.62
_05809_,249.26
_02368_,249.07
clknet_4_0_0_clk,248.89
_02242_,248.71
_02455_,248.57
_04009_,248.47
_03466_,248.2
_01875_,248.14
net11,246.815
_02355_,246.085
_03675_,245.91
_02481_,245.9
_03725_,245.47
_06848_,244.36
_02760_,244.06
_06636_,243.94
