net,length_um
_06798_,949.42
net12,936.48
net14,888.02
_02777_,830.95
clknet_0_clk,802.1
_06666_,795.135
_01717_,782.2
_02696_,771.52
_07103_,770.18
net67,767.15
_02780_,763.74
net29,749.86
_07080_,745.98
_02690_,740.92
net16,732.68
_07266_,729.02
net10,726.63
_02764_,722.32
_07323_,718.52
_07289_,717.63
_07126_,706.12
_07418_,690.86
_02880_,682.26
net66,680.01
_02784_,679.63
net9,677.48
_07439_,675.07
_07243_,675.04
_02772_,660.14
_02795_,659.13
_07057_,654.07
_06187_,652.74
_02799_,651.15
_02893_,650.73
_02726_,643.47
_02791_,639.82
_02162_,639.11
net95,638.2
net25,627.12
_02307_,626.81
net15,624.26
net75,624.11
_02655_,621.8
_02584_,618.71
_02878_,612.975
net31,598.97
clk,596.5
_02801_,594.2
_08048_,593.88
_02871_,593.61
_07208_,589.54
_02207_,589.31
_07370_,588.455
_02817_,586.09
_02897_,581.97
_02837_,577.25
_02722_,575.66
_07909_,568.07
net37,559.16
net76,557.76
_07933_,555.7
net98,555.43
clknet_2_2_0_clk,553.73
net48,550.98
_06747_,549.86
net7,549.41
clknet_2_3_0_clk,545.45
_02904_,542.81
_08082_,542.43
net32,540.77
_07460_,538.72
net34,537.32
_06724_,534.43
net36,533.83
_04822_,532.74
_02875_,532.49
_02408_,531.2
_02822_,528.45
net44,527.3
_02700_,525.73
net1,525.38
_07346_,523.71
_02937_,522.865
_04812_,522.65
net100,521.71
_02841_,518.21
_02563_,514.56
_02810_,510.27
_02464_,508.69
_06639_,508.44
_04342_,504.38
_04851_,503.43
_04938_,495.56
_02825_,492.84
_02228_,491.64
_02929_,491.46
clknet_2_1_0_clk,491.43
_02933_,489.07
_02805_,487.52
_02184_,487.51
_02902_,486.76
_02940_,485.74
_06702_,485.34
net27,484.7
net69,484.22
_04869_,483.435
_02866_,475.71
_02769_,474.5
_02925_,472.94
net47,472.52
net73,470.34
_02923_,470.07
_03064_,468.5
_05056_,467.75
_02854_,467.71
_02026_,465.19
_05257_,465.07
_02909_,462.88
_02827_,462.74
_04327_,462.12
_07522_,460.01
_02363_,459.26
_04925_,459.14
_02926_,458.06
_06772_,457.27
_01927_,456.78
_02919_,455.25
_02789_,453.735
_02900_,451.6
net3,451.45
_01696_,451.41
net23,449.92
net24,449.395
_02429_,448.97
_02845_,448.83
_01984_,446.69
_02105_,446.14
net91,444.74
_04945_,442.66
_02861_,442.06
_02914_,442.03
_02542_,441.95
_02487_,441.9
net28,440.765
_02831_,439.63
net2,438.76
_02634_,437.61
_02981_,435.72
_05334_,431.4
_02263_,428.83
_04918_,427.02
_02286_,425.91
_07954_,425.28
_02868_,423.99
_02061_,421.43
_05117_,420.44
_02005_,418.82
net77,418.64
_05269_,417.85
net60,417.36
_04599_,416.24
clknet_2_0_0_clk,415.07
_02863_,413.98
net40,413.32
_02962_,412.28
_02140_,412.16
_05311_,412.14
_02935_,411.18
_05093_,410.99
_02521_,410.97
_04592_,409.73
_08002_,409.66
_04727_,407.12
net20,405.84
_06590_,405.75
_02847_,405.5
_04371_,405.47
_02341_,404.89
_06230_,404.54
net71,403.58
net35,402.9
net33,402.88
_01950_,402.44
_02084_,400
_04682_,399.54
net8,398.33
_05112_,395.84
_04688_,395.34
_04677_,394.68
_04983_,394.56
_02887_,394.495
_02813_,394.49
_02819_,393.94
_04793_,392.67
_04979_,390.2
_02385_,389.9
_04699_,386.16
_04992_,384.78
_05008_,384.76
_02970_,384.02
_04601_,382.88
_06181_,380.78
net21,380.155
_02946_,378.27
_02917_,376.37
net46,375.96
_02906_,375.12
_04375_,374.51
net13,374.24
_06225_,372.35
_04922_,371.83
net19,371.26
_04866_,370.43
_02944_,369.75
_02740_,368
_02833_,367.96
_05251_,367.12
_02966_,366.77
_02857_,363.4
_02446_,362.98
_04680_,362.96
_05127_,362.02
net38,360.58
_04850_,359.74
_04717_,359.09
_05264_,357.52
_04621_,356.97
_05635_,356.815
_02977_,356.56
_02449_,355.07
_04974_,353.6
_02974_,352.28
net94,351.91
_04982_,349.32
_06232_,348.85
clknet_5_17__leaf_clk,347.8
net81,347.1
_02849_,345.65
net39,344.18
_04912_,343.86
clknet_5_26__leaf_clk,343.7
net43,343.4
_02852_,343.26
clknet_5_22__leaf_clk,341.99
_02972_,341.56
_02964_,340.73
_05079_,339.16
net68,338.78
_04859_,336.9
_05229_,334.93
_04971_,333.3
_05007_,333.18
_02744_,329.96
_04842_,327.05
_01900_,325.31
net42,323.72
_04367_,323.21
_04993_,322.56
_07998_,321.4
_08026_,318.83
_04384_,318.6
_06242_,318.08
_04931_,317.47
_04380_,316.82
_05137_,315.84
clknet_5_18__leaf_clk,315.64
_02451_,312.78
_04690_,312.09
_04934_,311.87
_05672_,311.2
_03344_,310.635
_06235_,310.47
_07977_,310.11
_04794_,308.7
net51,308
_04605_,307.78
_05100_,307.34
net41,307.24
_04175_,306.525
_04919_,304.74
net30,303.86
_04363_,303.23
_04586_,302.94
_04965_,302.12
_04936_,299.65
ex_mm_reg.ALU_Result_Out\[1\],298.48
net18,298.45
_05671_,298.04
_04513_,295.44
_04358_,293.78
_04593_,293.65
_04323_,291.4
_04826_,291.16
_04338_,290.69
ex_mm_reg.RF_D2_Out\[13\],289.57
_02954_,288.68
net52,288.68
_05237_,288.1
net72,288.06
_05252_,287.2
net78,286.52
_04950_,285.23
_04828_,284.68
_05131_,283.96
_07393_,282.14
clknet_5_16__leaf_clk,281.72
_05201_,281.24
_05545_,279.8
clknet_5_3__leaf_clk,278.25
_05039_,277.45
_02712_,276.63
_02718_,276.39
_02948_,275.75
_04805_,274.77
_05176_,274.11
_02958_,273.88
_04591_,273.78
_02956_,273.74
_04643_,272.92
net53,272.86
_05226_,271.12
_02432_,269.7
_04948_,266.97
net11,266.76
_04581_,266.64
clknet_5_23__leaf_clk,266.39
clknet_5_15__leaf_clk,265.88
_04821_,265.54
_01898_,265.06
_05783_,263.76
_04735_,263.34
_02502_,262.9
clknet_5_29__leaf_clk,262.8
_04972_,262.33
clknet_5_19__leaf_clk,260.94
net4,260.4
_04347_,260.22
clknet_5_9__leaf_clk,260.04
_04917_,259.3
_04800_,259.14
clknet_5_10__leaf_clk,258.58
_06768_,258.2
_05850_,256.8
_04861_,256.66
_05191_,256.06
_04705_,254.97
_04984_,253.88
_05036_,253.64
_06203_,253.41
_02490_,251.96
_04645_,251.68
clknet_5_21__leaf_clk,251.64
_02950_,251.08
_04865_,250.4
_04351_,249.98
ex_mm_reg.RF_D2_Out\[12\],249.34
_08007_,249.24
_04726_,249.19
_05254_,246.22
clknet_5_20__leaf_clk,244.52
_08021_,243.59
clknet_5_24__leaf_clk,242.54
clknet_5_11__leaf_clk,241.73
_04791_,240.66
_05293_,239.87
_04579_,239.74
_04955_,239.36
net61,237.78
ex_mm_reg.ALU_Result_Out\[2\],237.22
_01886_,237.01
_07981_,236.96
_05166_,236.67
_04110_,236.41
_02469_,235.88
_02500_,235.58
_02928_,235.26
_05256_,234.88
_02434_,234.22
_08001_,234.2
_07514_,232.62
_04961_,232.56
_05931_,232.43
_05073_,232.32
_04657_,231.74
_07975_,231.62
_05632_,230.44
clknet_5_27__leaf_clk,229.92
_06868_,229.71
_07984_,229.02
ex_mm_reg.ALU_Result_Out\[3\],228.36
_07488_,227.19
_04408_,226.98
_04636_,226.74
_06870_,226.4
_04960_,226.12
_01870_,224.47
_07223_,224.1
_05413_,223.8
_02495_,223.2
_04700_,223.16
_04310_,223.06
_05241_,222.48
_04322_,220.78
clknet_5_5__leaf_clk,220.01
_04888_,219.96
_04686_,219.615
clknet_5_0__leaf_clk,219.53
_04803_,219.29
_04317_,218.55
_04388_,218.5
_02492_,217.55
_04695_,217.54
_02453_,216.68
_04895_,216.03
_07504_,214.64
_05200_,213.8
_05006_,213.77
_04583_,212.97
_06220_,212.18
_04627_,212.13
_05360_,211.94
clknet_5_25__leaf_clk,210.98
_08074_,210.39
_04797_,210.36
_05745_,210.17
_04916_,208.8
_07397_,208.66
ex_mm_reg.RF_D2_Out\[14\],208.56
_04892_,208.16
_05690_,208
_06213_,206.36
_04062_,206.19
_04896_,205.87
_05088_,205.76
_05371_,205.46
_05183_,205.17
_04109_,205.02
_05052_,204.99
_02704_,204.45
_05231_,204.04
clknet_5_2__leaf_clk,203.01
_06611_,202.78
_04790_,202.6
_04173_,202.44
_07823_,202.37
_04987_,201.93
_07481_,201.19
_05448_,201.18
clknet_5_14__leaf_clk,201.06
_06172_,199.8
_04909_,199.69
_04737_,198.28
_04325_,198.21
_04662_,198.03
_05108_,198.02
_06696_,197.84
_06199_,197.46
_08078_,197.36
_02440_,194.46
_04808_,194.08
_04901_,193.7
_04715_,193.5
_02504_,193.4
_04930_,192.98
_06633_,192.7
_04887_,192.335
