net,length_um
clknet_0_clk,1198.38
net81,1034.625
_04854_,811.83
net90,807.09
_05007_,779.45
_04716_,774.85
net83,770.26
_04946_,751.32
_05144_,749.94
_04682_,744.71
_04923_,741.87
_04677_,732.41
_03764_,727.03
net92,726.115
net11,723.36
_04692_,713.36
_03756_,713.3
_04744_,708.36
_04935_,706.36
_03772_,704.405
net93,699.73
_04699_,696.19
_03804_,695.88
_04702_,695.54
_02678_,691.6
_02672_,690
_04948_,687.32
net80,675.2
net95,671.62
_02533_,668.28
_02676_,666.63
net94,665.16
_05020_,663.83
_02626_,655.47
_04568_,654.39
_03796_,654.11
_02579_,650.985
_05011_,649.72
_04944_,644.49
net77,643.42
_04808_,629.7
_04943_,629.605
_03747_,628.12
_03818_,626.21
_03635_,613.62
_04711_,613.57
_04550_,613.26
net75,611.75
_02702_,610.74
_04560_,607.88
_04527_,605.03
net10,604.39
net7,604.19
_04572_,601.51
_04931_,598.93
_03825_,598.79
_04814_,596.89
_04052_,593.77
_04703_,586.19
_03876_,583.7
_04546_,580
net68,574.56
_03788_,574.25
_04932_,573.35
_04934_,571.24
_02597_,570.01
_04591_,569.81
_04920_,553.78
net86,553.2
net25,550.1
_03721_,549.47
_04584_,548.82
_04681_,548.06
_04619_,546.02
_04332_,542.62
_02600_,540.21
_03730_,538.48
clknet_4_0_0_clk,537.11
_03878_,536.92
_02712_,536.58
_04539_,535.83
_03681_,531.52
_04746_,530.19
_04715_,528.19
_04694_,525.53
_04704_,522.63
_04565_,522.14
_04536_,521.97
_02650_,521.03
net35,517.79
_02603_,517.73
_04606_,517.11
_04966_,517.11
_04025_,515.05
_04563_,514.84
_04691_,513.95
_05009_,513.1
_03653_,510.99
_02830_,510.69
net9,509.86
net65,507.89
_02825_,507.47
_06093_,504.88
net29,504.32
_04719_,502.86
_04937_,501.36
_04554_,501.125
_02592_,500.51
_03820_,499.62
_03636_,499.36
net12,499.02
_04573_,498.25
_04725_,497.02
_04742_,495.375
_04533_,493.12
_04714_,492.43
net15,490.24
_04922_,490.15
net30,489.47
_04531_,489.21
_04680_,488.14
_03651_,486.62
_02608_,481.29
_04912_,479.73
_04580_,479.37
_04587_,479.23
_02530_,478.55
clknet_4_13_0_clk,477.415
clknet_4_2_0_clk,476.06
_02651_,468.68
_01887_,468.665
_04942_,465.105
_02810_,464.59
_03819_,463.84
clk,463.08
_02669_,462.81
_04567_,460.99
_02822_,460.94
_03978_,460.2
_04581_,460.005
_04853_,459.92
_04784_,458.12
_06101_,457.96
_02578_,455.04
_03918_,454.81
_04033_,452.81
_04685_,452.39
_02594_,447.705
clknet_4_8_0_clk,446.56
_02293_,444.82
_05719_,443.96
_02818_,443.74
_04031_,443.39
_04684_,442.76
net38,441.33
_03780_,441.1
_04597_,436.51
_04552_,436.06
_04177_,435.89
_04555_,435.015
_04035_,435.01
clknet_4_10_0_clk,434.48
_02605_,433.475
net14,431.86
_02813_,431.63
net26,430.32
_06097_,429.67
_02562_,428.72
_04060_,428.06
_02536_,427.76
_04819_,426.345
_02574_,426.3
_04949_,425.895
_02556_,424.11
_04724_,422.91
_03816_,420.8
net85,419.02
_02339_,416.97
_04569_,416.76
clknet_4_15_0_clk,416.56
_04729_,414.43
clknet_4_7_0_clk,413.68
_04930_,413.61
_04535_,413.46
_04016_,413.41
_02568_,412.6
net24,412.5
net42,412.32
_04780_,412.22
net69,411.39
clknet_4_12_0_clk,411.03
_04712_,410.72
_04570_,408.72
_02577_,408.33
clknet_4_14_0_clk,407.99
_05972_,407.68
_04050_,406.12
_04717_,405.25
net67,404.82
_04540_,404.15
_06118_,403.49
_02697_,400.74
_05006_,400.44
_04698_,399.965
_04541_,399.7
_03877_,399.31
_06099_,398.8
_04917_,398.4
net2,396.57
_03689_,395.68
clknet_4_11_0_clk,392.99
_07136_,392.9
_02802_,392.13
_05963_,391.83
_02582_,391.37
_04868_,391.03
net5,390.01
_02646_,389.93
_03697_,389.5
_04926_,389.17
_04705_,387.5
_03682_,387.45
net19,384.5
_03103_,382.93
_04058_,382.92
clknet_4_3_0_clk,382.29
_06341_,380.65
_04965_,380.32
_03811_,379.68
_02322_,378.4
net98,378.16
clknet_4_1_0_clk,376.97
_03822_,376.84
_04919_,376.55
_02284_,375.3
_04701_,372.7
_02545_,371.32
_06618_,370.36
_03817_,370.16
_04755_,369.89
_06126_,369.65
_04586_,368.75
clknet_4_5_0_clk,368.6
clknet_4_6_0_clk,368.6
_06065_,368.31
_02527_,366.98
_06038_,366.46
_05029_,366.42
_01919_,364.23
_06112_,363.7
clknet_4_9_0_clk,363.43
_04538_,363.29
_06084_,362.86
_03668_,362.3
net44,361.12
_03643_,360.57
_04230_,360.49
_04529_,360.42
_03812_,360.14
_04709_,359.59
_02800_,359.55
_02548_,358.54
_02435_,357.03
_04952_,356.84
_02345_,355.47
_04167_,355.46
_04045_,352.78
_02585_,352.43
_04686_,352.17
_04558_,349.01
_04039_,348.49
_02679_,347.68
_02454_,346.86
_05013_,346.81
_03121_,346.46
net3,346.32
_05012_,345.83
_03588_,344.64
_06105_,344.22
_03957_,344.07
_04528_,343.04
_03617_,342.59
_03662_,342.5
_01928_,342.46
_07138_,341.13
_03645_,339.85
_04530_,339.54
_02343_,337.27
_04873_,337.08
net84,336.76
_06116_,335.12
_06075_,334.61
net39,333.93
_03077_,333.9
_04139_,332.82
_04101_,330.2
_05824_,328.17
_03900_,327.93
_03705_,327.44
_04690_,327.18
_05738_,325.9
_03646_,325.74
_04091_,325.52
_03824_,325.32
_07289_,324.81
_03808_,324.32
_03773_,322.14
_03644_,321.54
net43,321.28
_03192_,320.94
_04322_,320.58
net31,320.32
net76,320.13
net6,319.11
_06224_,318.65
_03652_,318.64
_04549_,318.59
net101,317.26
_03934_,317.22
_04202_,316.83
_02353_,316.12
_03616_,315.5
_02685_,315.46
_07155_,315.28
_04120_,314.52
_04970_,313.57
_03698_,312.88
_07005_,312.86
_04428_,312.19
_02351_,311.73
_03969_,311.7
_04313_,310.24
_03948_,310.23
_02426_,310.21
_04534_,309.835
_04986_,309.06
_02665_,308.96
_03809_,308.92
_04007_,307.51
_04063_,306.91
_03201_,306.86
_07130_,306.7
_03578_,306.67
_04544_,306.54
_04082_,306.2
net70,306.12
_06609_,305.86
_01877_,305.36
_03637_,304.79
_04851_,304.425
_01868_,303.83
_04284_,303.39
_04043_,303.27
net41,302.51
_04294_,302.2
_04741_,302.16
_05826_,301.4
_03988_,300.22
clknet_4_4_0_clk,299.18
_04850_,298.88
_06095_,298.72
_03575_,298.69
net97,298.65
_05086_,298.325
net32,297.89
_02320_,297.56
_04148_,297.46
_06392_,296.7
_03713_,296.655
_07321_,295.86
_04331_,295.8
net88,295.54
_07142_,295.505
_06029_,295.5
net73,294.94
_04437_,294.52
_06124_,294.2
