net,length_um
clknet_0_clk,1235.44
_03817_,909.94
net81,896.93
_03809_,886.83
net83,842.63
_03785_,819.36
_03793_,817.06
_02636_,808.58
net92,780.66
net93,747.36
_03825_,747.21
net90,730.62
_04710_,689.56
_04668_,679.13
_04659_,675.82
_04521_,674.38
_03546_,671.76
net80,671.02
_03669_,646.62
net11,623.96
net86,622.39
_05111_,620.03
_03777_,613.89
_02586_,613.1
_02539_,611.26
_04761_,607.6
net77,606.26
_04975_,604.05
net94,601.31
_03668_,600.73
net7,595.33
_04679_,589.88
_04518_,587.96
_04137_,586.39
_04645_,585.4
net30,582.17
_04640_,573.27
net95,572.11
clknet_4_0_0_clk,569.73
net75,568.56
net35,566.24
_04691_,561.97
_03801_,560.76
_04663_,560.48
_04713_,559.8
_04780_,559.18
_04735_,555.45
_04756_,555.02
net68,551.77
_03686_,547.83
_04498_,546.78
_02557_,545.55
_04520_,545.09
_04506_,542.66
_04639_,536.42
_04672_,535.86
_04803_,534.095
_04638_,532.1
_04532_,530.24
_03575_,527.54
net31,524.63
_04526_,524.2
_04908_,521.77
_04918_,521.66
net9,521.3
net25,519.92
_02565_,519.555
_04831_,519.28
net5,517.22
_04509_,516.42
_03727_,515.08
_04528_,514.38
net29,512.44
_03689_,511.215
_05040_,509.455
net10,506.18
_04899_,505.61
_02568_,505.47
_02639_,505.39
_02611_,498.23
_04753_,494.95
_04034_,494.54
_03768_,492.34
_04709_,490.77
net65,488.66
_04746_,484.96
_04519_,483.12
_04662_,481.07
net38,480.95
_03786_,479.86
_02657_,477.03
_04695_,476.94
_03752_,476.38
_04694_,474.865
_02542_,474.58
_03660_,473.335
_03919_,473.31
_04692_,470.97
_03632_,468.67
_04534_,468.46
_05037_,466.74
clk,464.04
clknet_4_7_0_clk,463.25
_04644_,461.74
_04523_,461.115
_04547_,460.92
_04771_,459.6
_04637_,458.6
_04086_,458.05
_03671_,455.34
_03751_,455.11
_03719_,454.47
_03581_,454.36
_04088_,453.45
net12,453.32
_06728_,453.04
_04924_,452.18
_03742_,451.38
_04690_,451.155
net15,449.14
_03037_,445.065
_04734_,444.75
_04648_,443.26
clknet_4_13_0_clk,442.13
_02372_,442.07
net67,441.8
net14,440.96
_03743_,439.22
_04744_,439.1
_03543_,438.47
_04549_,436.8
net88,436.35
clknet_4_2_0_clk,436.12
_03587_,434.27
net69,433.21
_04758_,432.65
_03711_,431.88
_02610_,431.59
_02374_,430.67
_04938_,429.61
_04538_,427.43
_04505_,427.26
_05244_,426.59
_04957_,425.96
_03670_,424.34
_03569_,421.88
_03921_,421.2
_04671_,420.88
clknet_4_5_0_clk,420.88
